codigo,nome,municipio,uf,regiao,grau,grau_ponderado_passageiros,degree_centrality,betweenness_centrality,closeness_centrality,score_criticidade,no_maior_componente
RAO,LEITE LOPES,RIBEIRÃO PRETO,SP,SUDESTE,32,697191,0.2077922077922078,0.01335576602151338,0.5167785234899329,0.33426074983526904,True
BPS,PORTO SEGURO,PORTO SEGURO,BA,NORDESTE,22,2302867,0.14285714285714285,0.0033810669536489518,0.4797507788161994,0.33242840503517107,True
FLN,HERCÍLIO LUZ,FLORIANÓPOLIS,SC,SUL,17,3780793,0.11038961038961038,0.003412931863708458,0.4723926380368098,0.3312169853329636,True
SDU,SANTOS DUMONT,RIO DE JANEIRO,RJ,SUDESTE,12,6158396,0.07792207792207792,0.0014031929475382399,0.456973293768546,0.32917212446170896,True
SLZ,MARECHAL CUNHA MACHADO,SÃO LUÍS,MA,NORDESTE,20,1781338,0.12987012987012986,0.016401860986864206,0.4935897435897436,0.3274670755559868,True
JPA,PRESIDENTE CASTRO PINTO,SANTA RITA,PB,NORDESTE,19,1802472,0.12337662337662338,0.002316292752496167,0.4723926380368098,0.3208357734558513,True
NAT,GOVERNADOR ALUIZIO ALVES,SÃO GONÇALO DO AMARANTE,RN,NORDESTE,17,2212475,0.11038961038961038,0.003058643559674751,0.4935897435897436,0.3207230091222483,True
IGU,CATARATAS,FOZ DO IGUAÇU,PR,SUL,13,2154390,0.08441558441558442,0.0022643868268270575,0.4709480122324159,0.31128507389253607,True
UDI,TEN CEL AVIADOR CÉSAR BOMBONATO,UBERLÂNDIA,MG,SUDESTE,17,1048098,0.11038961038961038,0.00275925954360993,0.47530864197530864,0.3061553912630128,True
NVT,MINISTRO VICTOR KONDER,NAVEGANTES,SC,SUL,9,2227046,0.05844155844155844,0.0003171872659823938,0.44126074498567336,0.302620285809962,True
AJU,SANTA MARIA,ARACAJU,SE,NORDESTE,12,1323198,0.07792207792207792,0.00014244755141113686,0.4624624624624625,0.2989739581340441,True
SJP,PROFESSOR ERIBERTO MANOEL REINO,SÃO JOSÉ DO RIO PRETO,SP,SUDESTE,15,904417,0.09740259740259741,0.0008195365254456831,0.47530864197530864,0.2983246893877913,True
CGR,CAMPO GRANDE,CAMPO GRANDE,MS,CENTRO-OESTE,10,1569640,0.06493506493506493,0.0008911336598082558,0.4350282485875706,0.29820185562030704,True
THE,SENADOR PETRÔNIO PORTELLA,TERESINA,PI,NORDESTE,9,1083036,0.05844155844155844,1.9132232017386077e-05,0.4624624624624625,0.2885609786305386,True
PVH,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,RO,NORTE,12,609565,0.07792207792207792,0.007304004476795166,0.48427672955974843,0.2863525470486904,True
MGF,SÍLVIO NAME JÚNIOR,MARINGÁ,PR,SUL,9,870083,0.05844155844155844,0.00028702678724503756,0.4301675977653631,0.28441073347569956,True
LDB,GOVERNADOR JOSÉ RICHA,LONDRINA,PR,SUL,10,701189,0.06493506493506493,0.00010176609428750477,0.4583333333333333,0.2823344290324904,True
MCP,ALBERTO ALCOLUMBRE,MACAPÁ,AP,NORTE,11,572855,0.07142857142857142,0.004147795249392592,0.463855421686747,0.2819331955595804,True
PMW,BRIGADEIRO LYSIAS RODRIGUES,PALMAS,TO,NORTE,7,720812,0.045454545454545456,0.002872624173871945,0.4624624624624625,0.27729901644893307,True
XAP,SERAFIN ENOSS BERTASO,CHAPECÓ,SC,SUL,7,636029,0.045454545454545456,5.305152363975893e-05,0.42777777777777776,0.2739360109319518,True
